analyzed 39 paired comparisons across saved artifacts
file | left vs right | paired success diff | 95% CI | p
data/experiments/flexible-causal-0.6b.json | jlens vs logit | +0.084 | [+0.043, +0.125] | 0.000
data/experiments/flexible-causal-0.6b.json | random vs logit | -0.267 | [-0.335, -0.194] | 0.000
data/experiments/flexible-causal-0.8b.json | jlens vs logit | +0.024 | [-0.014, +0.061] | 0.217
data/experiments/flexible-causal-0.8b.json | random vs logit | -0.292 | [-0.357, -0.225] | 0.000
data/experiments/flexible-causal-27b.json | jlens vs logit | +0.182 | [+0.141, +0.225] | 0.000
data/experiments/flexible-causal-27b.json | tuned vs logit | -0.012 | [-0.059, +0.035] | 0.585
data/experiments/flexible-causal-27b.json | random vs logit | -0.218 | [-0.275, -0.157] | 0.000
data/experiments/flexible-causal-full48.json | jlens vs logit | -0.010 | [-0.051, +0.029] | 0.696
data/experiments/flexible-causal-full48.json | random vs logit | -0.414 | [-0.482, -0.347] | 0.000
data/experiments/flexible-causal-qwen3-1.7b-jlens-204.json | jlens vs logit | -0.031 | [-0.088, +0.025] | 0.317
data/experiments/flexible-causal-qwen3-1.7b-jlens-204.json | random vs logit | -0.188 | [-0.259, -0.114] | 0.000
data/experiments/flexible-causal-smollm2-135m.json | jlens vs logit | +0.094 | [+0.027, +0.157] | 0.005
data/experiments/flexible-causal-smollm2-135m.json | random vs logit | -0.137 | [-0.200, -0.075] | 0.000
data/experiments/multihop-causal-0.6b.json | jlens vs logit | +0.010 | [-0.064, +0.083] | 0.879
data/experiments/multihop-causal-0.6b.json | random vs logit | -0.147 | [-0.265, -0.039] | 0.011
data/experiments/multihop-causal-0.8b.json | jlens vs logit | +0.049 | [-0.010, +0.113] | 0.159
data/experiments/multihop-causal-0.8b.json | random vs logit | -0.235 | [-0.353, -0.118] | 0.000
data/experiments/multihop-causal-27b.json | jlens vs logit | +0.103 | [+0.029, +0.172] | 0.011
data/experiments/multihop-causal-27b.json | tuned vs logit | -0.034 | [-0.108, +0.039] | 0.388
data/experiments/multihop-causal-27b.json | random vs logit | -0.304 | [-0.392, -0.211] | 0.000
data/experiments/multihop-causal-full90.json | jlens vs logit | +0.029 | [-0.029, +0.093] | 0.437
data/experiments/multihop-causal-full90.json | random vs logit | -0.461 | [-0.578, -0.348] | 0.000
data/experiments/multihop-causal-qwen3-1.7b-jlens-204.json | jlens vs logit | +0.044 | [-0.044, +0.137] | 0.392
data/experiments/multihop-causal-qwen3-1.7b-jlens-204.json | random vs logit | -0.186 | [-0.309, -0.064] | 0.005
data/experiments/multihop-causal-smollm2-135m.json | jlens vs logit | +0.076 | [-0.015, +0.162] | 0.104
data/experiments/multihop-causal-smollm2-135m.json | random vs logit | -0.207 | [-0.318, -0.091] | 0.001
data/experiments/verbal-report-causal-0.6b.json | jlens vs logit | +0.095 | [+0.024, +0.190] | 0.134
data/experiments/verbal-report-causal-0.6b.json | random vs logit | -0.357 | [-0.548, -0.167] | 0.018
data/experiments/verbal-report-causal-0.8b.json | jlens vs logit | +0.500 | [+0.286, +0.714] | 0.005
data/experiments/verbal-report-causal-0.8b.json | random vs logit | +0.095 | [-0.143, +0.310] | 0.501
data/experiments/verbal-report-causal-27b.json | jlens vs logit | +0.143 | [-0.048, +0.310] | 0.199
data/experiments/verbal-report-causal-27b.json | tuned vs logit | -0.119 | [-0.286, +0.024] | 0.292
data/experiments/verbal-report-causal-27b.json | random vs logit | -0.167 | [-0.381, +0.024] | 0.210
data/experiments/verbal-report-causal-full14.json | jlens vs logit | +0.119 | [+0.024, +0.238] | 0.130
data/experiments/verbal-report-causal-full14.json | random vs logit | -0.524 | [-0.786, -0.214] | 0.008
data/experiments/verbal-report-causal-qwen3-1.7b-jlens-204.json | jlens vs logit | +0.214 | [+0.024, +0.381] | 0.060
data/experiments/verbal-report-causal-qwen3-1.7b-jlens-204.json | random vs logit | +0.071 | [-0.095, +0.238] | 0.462
data/experiments/verbal-report-causal-smollm2-135m.json | jlens vs logit | +0.071 | [-0.095, +0.238] | 0.592
data/experiments/verbal-report-causal-smollm2-135m.json | random vs logit | -0.357 | [-0.595, -0.095] | 0.032
